Sample alias,EPI_ISL_ID,EPI_SET_ID,Lineage group,Sample collection date
hCoV-19/Denmark/DCGC-104138/2021,EPI_ISL_3075281,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104169/2021,EPI_ISL_2679102,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104195/2021,EPI_ISL_2679128,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104378/2021,EPI_ISL_2679214,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-104389/2021,EPI_ISL_2679223,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104449/2021,EPI_ISL_2679259,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104453/2021,EPI_ISL_2679264,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104562/2021,EPI_ISL_2429454,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104564/2021,EPI_ISL_2679325,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104580/2021,EPI_ISL_2429461,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104584/2021,EPI_ISL_2679331,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104592/2021,EPI_ISL_2679340,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104703/2021,EPI_ISL_2679394,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104725/2021,EPI_ISL_2679407,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104736/2021,EPI_ISL_2679410,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-104852/2021,EPI_ISL_2679463,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-104894/2021,EPI_ISL_2679482,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-104942/2021,EPI_ISL_2679501,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-105076/2021,EPI_ISL_2679584,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-105096/2021,EPI_ISL_2679595,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-105220/2021,EPI_ISL_2679672,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-105221/2021,EPI_ISL_3075310,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-105247/2021,EPI_ISL_2679692,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-105271/2021,EPI_ISL_2429847,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-105345/2021,EPI_ISL_2429894,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-105386/2021,EPI_ISL_3075316,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-105556/2021,EPI_ISL_2430011,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-105562/2021,EPI_ISL_2679814,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-105647/2021,EPI_ISL_3075328,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-105681/2021,EPI_ISL_3075330,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-105696/2021,EPI_ISL_2679843,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-105711/2021,EPI_ISL_2679848,EPI_SET_230103mu,Alpha,2021-05-03
hCoV-19/Denmark/DCGC-105751/2021,EPI_ISL_2679855,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-105895/2021,EPI_ISL_2679892,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-105905/2021,EPI_ISL_2679897,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-106052/2021,EPI_ISL_2430301,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-106173/2021,EPI_ISL_2679961,EPI_SET_230103mu,Alpha,2021-05-10
hCoV-19/Denmark/DCGC-106285/2021,EPI_ISL_2679983,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-106302/2021,EPI_ISL_3075359,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-106326/2021,EPI_ISL_2679993,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-106404/2021,EPI_ISL_2430501,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-106477/2021,EPI_ISL_2680033,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-106509/2021,EPI_ISL_2430561,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-106614/2021,EPI_ISL_3075369,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-106707/2021,EPI_ISL_2680086,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-106722/2021,EPI_ISL_2430686,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-106759/2021,EPI_ISL_2680100,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-106837/2021,EPI_ISL_2680112,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-106986/2021,EPI_ISL_2680148,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107048/2021,EPI_ISL_2680159,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107099/2021,EPI_ISL_2680177,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107158/2021,EPI_ISL_2430931,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107166/2021,EPI_ISL_2680193,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107174/2021,EPI_ISL_3075396,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107184/2021,EPI_ISL_2680195,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-107190/2021,EPI_ISL_2680198,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-107263/2021,EPI_ISL_3075401,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107343/2021,EPI_ISL_3075409,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107358/2021,EPI_ISL_2431057,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107365/2021,EPI_ISL_3075410,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107405/2021,EPI_ISL_2431082,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-107525/2021,EPI_ISL_2680289,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107636/2021,EPI_ISL_3075424,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107661/2021,EPI_ISL_3075425,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107725/2021,EPI_ISL_2431266,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107816/2021,EPI_ISL_2680362,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107825/2021,EPI_ISL_2680367,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107868/2021,EPI_ISL_2680381,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107921/2021,EPI_ISL_2680398,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-107941/2021,EPI_ISL_2431388,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-108003/2021,EPI_ISL_2680412,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-108011/2021,EPI_ISL_2680415,EPI_SET_230103mu,Alpha,2021-05-17
